DateTime,SpeedChanged_speedX,SpeedChanged_speedY,SpeedChanged_speedZ,AltitudeChanged_altitude,AttitudeChanged_roll,AttitudeChanged_pitch,AttitudeChanged_yaw,GpsLocationChanged_latitude,GpsLocationChanged_longitude,GpsLocationChanged_altitude,GpsLocationChanged_latitude_accuracy,GpsLocationChanged_longitude_accuracy,GpsLocationChanged_altitude_accuracy,HomeChanged_latitude,HomeChanged_longitude,HomeChanged_altitude,moveByEnd_dX,moveByEnd_dY,moveByEnd_dZ,moveByEnd_dPsi,WifiSignalChanged_rssi,BatteryStateChanged_percent,FlyingStateChanged_state_unknown,FlyingStateChanged_state_landed,FlyingStateChanged_state_takingoff,FlyingStateChanged_state_hovering,FlyingStateChanged_state_flying,FlyingStateChanged_state_landing,FlyingStateChanged_state_emergency,FlyingStateChanged_state_usertakeoff,FlyingStateChanged_state_motor_ramping,FlyingStateChanged_state_motor_emergency_landing,HomeTypeAvailabilityChanged_type_UNKNOWN,HomeTypeAvailabilityChanged_type_TAKEOFF,HomeTypeAvailabilityChanged_type_PILOT,HomeTypeAvailabilityChanged_type_FIRST_FIX,HomeTypeAvailabilityChanged_type_FOLLOWEE
2024-07-25 20:01:44.876985788,0.0,0.0,0.0,0.0,0.016634460538625717,-0.011379214935004711,-0.0035260405857115984,-21.257452333333035,-48.303207333332494,578.0,0,0,1,-21.2574465,-48.303192499999994,2.0,0.0,0.0,0.0,0.0,-32,99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-07-25 20:01:44.977495193,0.0,0.0,0.0,0.0,0.016634460538625717,-0.011379214935004711,-0.0035260405857115984,-21.257452333333035,-48.303207333332494,578.0,0,0,1,-21.2574465,-48.303192499999994,2.0,0.0,0.0,0.0,0.0,-32,99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-07-25 20:01:45.084205627,0.0,0.0,0.0,0.0,0.016634460538625717,-0.011379214935004711,-0.0035260405857115984,-21.257452333333035,-48.303207333332494,578.0,0,0,1,-21.2574465,-48.303192499999994,2.0,0.0,0.0,0.0,0.0,-32,99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-07-25 20:01:45.186060905,0.0,0.0,0.0,0.0,0.016634460538625717,-0.011379214935004711,-0.0035260405857115984,-21.257452333333035,-48.303207333332494,578.0,0,0,1,-21.2574465,-48.303192499999994,2.0,0.0,0.0,0.0,0.0,-32,99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-07-25 20:01:45.286899567,0.0,0.0,0.0,0.0,0.016634460538625717,-0.011379214935004711,-0.0035260405857115984,-21.257452333333035,-48.303207333332494,578.0,0,0,1,-21.2574465,-48.303192499999994,2.0,0.0,0.0,0.0,0.0,-32,99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-07-25 20:01:45.388025522,0.0,0.0,0.0,0.0,0.016634460538625717,-0.011379214935004711,-0.0035260405857115984,-21.257452333333035,-48.303207333332494,578.0,0,0,1,-21.2574465,-48.303192499999994,2.0,0.0,0.0,0.0,0.0,-32,99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-07-25 20:01:45.488506079,0.0,0.0,0.0,0.0,0.016634460538625717,-0.011379214935004711,-0.0035260405857115984,-21.257452333333035,-48.303207333332494,578.0,0,0,1,-21.2574465,-48.303192499999994,2.0,0.0,0.0,0.0,0.0,-32,99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-07-25 20:01:45.591185570,0.0,0.0,0.0,0.0,0.016702232882380486,-0.011311818845570087,-0.0036221470218151808,-21.25745199999959,-48.303207333332494,578.0999755859375,0,0,1,-21.2574465,-48.303192499999994,2.0,0.0,0.0,0.0,0.0,-32,98,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-07-25 20:01:45.696457386,0.0,0.0,0.0,0.0,0.016702232882380486,-0.011311818845570087,-0.0036221470218151808,-21.25745183333332,-48.303207333332494,578.2000122070312,0,0,1,-21.2574465,-48.303192499999994,2.0,0.0,0.0,0.0,0.0,-32,98,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-07-25 20:01:45.798417568,0.0,0.0,0.0,0.0,0.0167198795825243,-0.01118110865354538,-0.0036369082517921925,-21.25745183333332,-48.303207333332494,578.2000122070312,0,0,1,-21.2574465,-48.303192499999994,2.0,0.0,0.0,0.0,0.0,-33,98,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
