Timestamp,Battery,Flying State,Sensors
1720123194.2200859,100,unknown,"{'WifiSignalChanged_rssi': -33, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.007506083697080612, 'AttitudeChanged_pitch': -0.0016725846799090505, 'AttitudeChanged_yaw': 0.36541077494621277, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': 16, 'GpsLocationChanged_longitude_accuracy': 21, 'GpsLocationChanged_altitude_accuracy': 29, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123194.3217354,100,unknown,"{'WifiSignalChanged_rssi': -33, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0074963923543691635, 'AttitudeChanged_pitch': -0.0016184835694730282, 'AttitudeChanged_yaw': 0.36598366498947144, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': 16, 'GpsLocationChanged_longitude_accuracy': 21, 'GpsLocationChanged_altitude_accuracy': 29, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123194.4229128,100,unknown,"{'WifiSignalChanged_rssi': -33, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0070739621296525, 'AttitudeChanged_pitch': -0.0018863253062590957, 'AttitudeChanged_yaw': 0.3651648759841919, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': 16, 'GpsLocationChanged_longitude_accuracy': 21, 'GpsLocationChanged_altitude_accuracy': 29, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123194.5240586,100,unknown,"{'WifiSignalChanged_rssi': -33, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0070739621296525, 'AttitudeChanged_pitch': -0.0018863253062590957, 'AttitudeChanged_yaw': 0.3651648759841919, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': 16, 'GpsLocationChanged_longitude_accuracy': 21, 'GpsLocationChanged_altitude_accuracy': 29, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123194.6244097,100,unknown,"{'WifiSignalChanged_rssi': -26, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.0070739621296525, 'AttitudeChanged_pitch': -0.0018863253062590957, 'AttitudeChanged_yaw': 0.3651648759841919, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': 78, 'GpsLocationChanged_longitude_accuracy': 83, 'GpsLocationChanged_altitude_accuracy': 91, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123194.72664,100,unknown,"{'WifiSignalChanged_rssi': -26, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.007191778626292944, 'AttitudeChanged_pitch': -0.0015784467104822397, 'AttitudeChanged_yaw': 0.3653581440448761, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': 78, 'GpsLocationChanged_longitude_accuracy': 83, 'GpsLocationChanged_altitude_accuracy': 91, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123194.8279045,100,unknown,"{'WifiSignalChanged_rssi': -26, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.007124318275600672, 'AttitudeChanged_pitch': -0.0018957294523715973, 'AttitudeChanged_yaw': 0.36460328102111816, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': 78, 'GpsLocationChanged_longitude_accuracy': 83, 'GpsLocationChanged_altitude_accuracy': 91, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123194.9281738,100,unknown,"{'WifiSignalChanged_rssi': -26, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.007124318275600672, 'AttitudeChanged_pitch': -0.0018957294523715973, 'AttitudeChanged_yaw': 0.36460328102111816, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': 78, 'GpsLocationChanged_longitude_accuracy': 83, 'GpsLocationChanged_altitude_accuracy': 91, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123195.0293436,100,unknown,"{'WifiSignalChanged_rssi': -26, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.007218111772090197, 'AttitudeChanged_pitch': -0.0014775540912523866, 'AttitudeChanged_yaw': 0.3648917078971863, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': 78, 'GpsLocationChanged_longitude_accuracy': 83, 'GpsLocationChanged_altitude_accuracy': 91, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
1720123195.1296573,100,unknown,"{'WifiSignalChanged_rssi': -26, 'SpeedChanged_speedX': 0.0, 'SpeedChanged_speedY': 0.0, 'SpeedChanged_speedZ': 0.0, 'AltitudeChanged_altitude': 0.0, 'AttitudeChanged_roll': 0.007218111772090197, 'AttitudeChanged_pitch': -0.0014775540912523866, 'AttitudeChanged_yaw': 0.3648917078971863, 'Orientation_tilt': -13, 'Orientation_pan': 0, 'GpsLocationChanged_latitude': 500.0, 'GpsLocationChanged_longitude': 500.0, 'GpsLocationChanged_altitude': 500.0, 'GpsLocationChanged_latitude_accuracy': 78, 'GpsLocationChanged_longitude_accuracy': 83, 'GpsLocationChanged_altitude_accuracy': 91, 'PositionChanged_latitude': 500.0, 'PositionChanged_longitude': 500.0, 'PositionChanged_altitude': 500.0}"
