DateTime,SpeedChanged_speedX,SpeedChanged_speedY,SpeedChanged_speedZ,AltitudeChanged_altitude,AttitudeChanged_roll,AttitudeChanged_pitch,AttitudeChanged_yaw,GpsLocationChanged_latitude,GpsLocationChanged_longitude,GpsLocationChanged_altitude,GpsLocationChanged_latitude_accuracy,GpsLocationChanged_longitude_accuracy,GpsLocationChanged_altitude_accuracy,HomeChanged_latitude,HomeChanged_longitude,HomeChanged_altitude,moveByEnd_dX,moveByEnd_dY,moveByEnd_dZ,moveByEnd_dPsi,WifiSignalChanged_rssi,BatteryStateChanged_percent,FlyingStateChanged_state_unknown,FlyingStateChanged_state_landed,FlyingStateChanged_state_takingoff,FlyingStateChanged_state_hovering,FlyingStateChanged_state_flying,FlyingStateChanged_state_landing,FlyingStateChanged_state_emergency,FlyingStateChanged_state_usertakeoff,FlyingStateChanged_state_motor_ramping,FlyingStateChanged_state_motor_emergency_landing,HomeTypeAvailabilityChanged_type_UNKNOWN,HomeTypeAvailabilityChanged_type_TAKEOFF,HomeTypeAvailabilityChanged_type_PILOT,HomeTypeAvailabilityChanged_type_FIRST_FIX,HomeTypeAvailabilityChanged_type_FOLLOWEE,is_target
2024-08-27 19:28:20.798105717,0.0,0.0,0.0,0.0,-0.0012669428251683712,-0.0029336889274418354,-0.4981602728366852,500.0,500.0,500.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024-08-27 19:28:20.898337603,0.0,0.0,0.0,0.0,-0.0012669428251683712,-0.0029336889274418354,-0.4981602728366852,500.0,500.0,500.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024-08-27 19:28:20.999374866,0.0,0.0,0.0,0.0,-0.001276280265301466,-0.0026786879170686007,-0.49822351336479187,500.0,500.0,500.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024-08-27 19:28:21.100101709,0.0,0.0,0.0,0.0,-0.001276280265301466,-0.0026786879170686007,-0.49822351336479187,500.0,500.0,500.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024-08-27 19:28:21.201964855,0.0,0.0,0.0,0.0,-0.0012977650621905923,-0.0027988161891698837,-0.4983294904232025,500.0,500.0,500.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024-08-27 19:28:21.302497625,0.0,0.0,0.0,0.0,-0.0012977650621905923,-0.0027988161891698837,-0.4983294904232025,500.0,500.0,500.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024-08-27 19:28:21.403019905,0.0,0.0,0.0,0.0,-0.0012597301974892616,-0.002968094777315855,-0.4984336793422699,500.0,500.0,500.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024-08-27 19:28:21.503416300,0.0,0.0,0.0,0.0,-0.0012597301974892616,-0.002968094777315855,-0.4984336793422699,500.0,500.0,500.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024-08-27 19:28:21.604033232,0.0,0.0,0.0,0.0,-0.0012411160860210657,-0.002957787597551942,-0.49846988916397095,500.0,500.0,500.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024-08-27 19:28:21.704499006,0.0,0.0,0.0,0.0,-0.0012411160860210657,-0.002957787597551942,-0.49846988916397095,500.0,500.0,500.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024-08-27 19:28:21.805558681,0.0,0.0,0.0,0.0,-0.0012202418874949217,-0.0029985597357153893,-0.49853596091270447,500.0,500.0,500.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
