DateTime,SpeedChanged_speedX,SpeedChanged_speedY,SpeedChanged_speedZ,AltitudeChanged_altitude,AttitudeChanged_roll,AttitudeChanged_pitch,AttitudeChanged_yaw,GpsLocationChanged_latitude,GpsLocationChanged_longitude,GpsLocationChanged_altitude,GpsLocationChanged_latitude_accuracy,GpsLocationChanged_longitude_accuracy,GpsLocationChanged_altitude_accuracy,HomeChanged_latitude,HomeChanged_longitude,HomeChanged_altitude,moveByEnd_dX,moveByEnd_dY,moveByEnd_dZ,moveByEnd_dPsi,WifiSignalChanged_rssi,BatteryStateChanged_percent,FlyingStateChanged_state_unknown,FlyingStateChanged_state_landed,FlyingStateChanged_state_takingoff,FlyingStateChanged_state_hovering,FlyingStateChanged_state_flying,FlyingStateChanged_state_landing,FlyingStateChanged_state_emergency,FlyingStateChanged_state_usertakeoff,FlyingStateChanged_state_motor_ramping,FlyingStateChanged_state_motor_emergency_landing,HomeTypeAvailabilityChanged_type_UNKNOWN,HomeTypeAvailabilityChanged_type_TAKEOFF,HomeTypeAvailabilityChanged_type_PILOT,HomeTypeAvailabilityChanged_type_FIRST_FIX,HomeTypeAvailabilityChanged_type_FOLLOWEE,is_target
2024-08-27 19:49:44.889401913,0.0,0.0,0.0,0.0,0.0011175292311236262,-0.0038190078921616077,-0.3194766044616699,-22.004840333333597,-47.932644499999526,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:44.992233753,0.0,0.0,0.0,0.0,0.0011175292311236262,-0.0038190078921616077,-0.3194766044616699,-22.004840333333597,-47.932644499999526,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:45.151545763,0.0,0.0,0.0,0.0,0.0013140060473233461,-0.003846670500934124,-0.31958162784576416,-22.004840333333597,-47.932644499999526,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:45.261006116,0.0,0.0,0.0,0.0,0.0013250102056190372,-0.003894232679158449,-0.31964752078056335,-22.00484000000106,-47.93264483333293,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:45.365369081,0.0,0.0,0.0,0.0,0.0013250102056190372,-0.003894232679158449,-0.31964752078056335,-22.00484000000106,-47.93264483333293,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:45.467684746,0.0,0.0,0.0,0.0,0.0012544887140393257,-0.0038120534736663103,-0.3197098970413208,-22.00484000000106,-47.93264483333293,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:45.584707022,0.0,0.0,0.0,0.0,0.0012544887140393257,-0.0038120534736663103,-0.3197098970413208,-22.00484000000106,-47.93264483333293,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:45.731214046,0.0,0.0,0.0,0.0,0.001351440791040659,-0.003862390760332346,-0.31980690360069275,-22.00484000000106,-47.93264483333293,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:45.845599651,0.0,0.0,0.0,0.0,0.001351440791040659,-0.003862390760332346,-0.31980690360069275,-22.004839833334337,-47.93264516666633,858.4000244140625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:45.969120502,0.0,0.0,0.0,0.0,0.0015235519967973232,-0.003552702721208334,-0.3199128806591034,-22.004839833334337,-47.93264516666633,858.4000244140625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:46.070250511,0.0,0.0,0.0,0.0,0.0014380901120603085,-0.0035168142057955265,-0.3199702799320221,-22.004839833334337,-47.93264516666633,858.4000244140625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:46.170608759,0.0,0.0,0.0,0.0,0.0014380901120603085,-0.0035168142057955265,-0.3199702799320221,-22.00483950000089,-47.93264516666633,858.4000244140625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:46.294194698,0.0,0.0,0.0,0.0,0.0013504325179383159,-0.003492054995149374,-0.3200032711029053,-22.00483950000089,-47.93264516666633,858.4000244140625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:46.400462866,0.0,0.0,0.0,0.0,0.0013504325179383159,-0.003492054995149374,-0.3200032711029053,-22.00483950000089,-47.93264516666633,858.4000244140625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:46.574509382,0.0,0.0,0.0,0.0,0.0011352392612025142,-0.003691676538437605,-0.3201121687889099,-22.00483950000089,-47.93264516666633,858.4000244140625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:46.679802418,0.0,0.0,0.0,0.0,0.0013152125757187605,-0.003657931461930275,-0.3202068507671356,-22.00483950000089,-47.93264516666633,858.4000244140625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:46.787092209,0.0,0.0,0.0,0.0,0.0013152125757187605,-0.003657931461930275,-0.3202068507671356,-22.00483950000089,-47.93264516666633,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:46.909551144,0.0,0.0,0.0,0.0,0.001521418453194201,-0.0036334542091935873,-0.32030004262924194,-22.00483950000089,-47.93264516666633,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:47.054650307,0.0,0.0,0.0,0.0,0.0014129946939647198,-0.0035404618829488754,-0.32036739587783813,-22.00483950000089,-47.93264516666633,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:47.187477827,0.0,0.0,0.0,0.0,0.0014129946939647198,-0.0035404618829488754,-0.32036739587783813,-22.004839333335077,-47.93264516666633,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:47.306351900,0.0,0.0,0.0,0.0,0.0014107227325439453,-0.003827097127214074,-0.320409893989563,-22.004839333335077,-47.93264516666633,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:47.407696724,0.0,0.0,0.0,0.0,0.0014107227325439453,-0.003827097127214074,-0.320409893989563,-22.004839333335077,-47.93264516666633,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-08-27 19:49:47.508145093,0.0,0.0,0.0,0.0,0.0012212765868753195,-0.0038288196083158255,-0.3205062747001648,-22.004839333335077,-47.93264516666633,858.2999877929688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42,81,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
